SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,winter_2022,spring_2022,summer_2022,fall_2022,neighborhood
40,91911,zip,CA,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,681450,722095,739692,710595,
49,92154,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,664138,706684,727129,700881,
151,91910,zip,CA,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,726397,774913,798633,767461,
154,92126,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,856936,926259,955542,916005,
168,92105,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,632409,677716,702922,676472,
185,92021,zip,CA,CA,El Cajon,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,688009,737666,756291,726055,
226,92114,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,660535,699423,719976,689184,
285,92115,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,747160,805324,834104,806808,
299,91977,zip,CA,CA,Spring Valley,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,677129,721448,741524,709128,
383,92020,zip,CA,CA,El Cajon,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,745587,798987,821013,791296,
426,91950,zip,CA,CA,National City,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,610606,648985,670561,648950,
436,92071,zip,CA,CA,Santee,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,718735,770378,792898,759465,
438,92130,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1725914,1893936,2004749,1971679,
520,92057,zip,CA,CA,Oceanside,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,710421,764608,796433,771323,
560,92027,zip,CA,CA,Escondido,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,686348,739706,765923,738941,
616,92117,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,949542,1022882,1053715,1027743,
664,92111,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,835460,897840,923709,893667,
708,92024,zip,CA,CA,Encinitas,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1616452,1759852,1851713,1822402,
713,92129,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1156855,1284086,1355985,1319776,
738,92084,zip,CA,CA,Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,790553,855345,885866,857939,
763,92028,zip,CA,CA,Fallbrook,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,800140,859841,890199,857242,
766,92056,zip,CA,CA,Oceanside,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,756894,818560,853376,822031,
795,92025,zip,CA,CA,Escondido,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,752817,814328,844312,817950,
806,91913,zip,CA,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,796862,855738,884231,850253,
809,92026,zip,CA,CA,Escondido,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,729565,786274,813303,783563,
815,92113,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,593286,632341,656555,627686,
817,92064,zip,CA,CA,Poway,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1039735,1133501,1180399,1149766,
864,92127,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1354191,1489313,1574310,1531602,
907,92069,zip,CA,CA,San Marcos,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,781154,842873,878714,850616,
943,92128,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,876231,951283,998127,972785,
1067,92109,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1261985,1362685,1417639,1400438,
1079,92104,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,809950,868541,901133,882917,
1149,92122,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,950479,1036792,1091940,1077188,
1170,92040,zip,CA,CA,Lakeside,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,723408,772023,788392,754468,
1192,92102,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,657068,700598,724236,699719,
